initiative,primary_topic,why,kpi_success,how_to_track
Stabilize onboard Wi-Fi reliability and speed,wifi,"Connectivity failures are repeatedly associated with negative sentiment and reduce perceived value, especially on longer flights.",Decrease negative Wi-Fi mentions per 1k reviews; increase Wi-Fi CSAT; increase satisfaction on Wi-Fi equipped routes,"Weekly topic dashboard (wifi); onboard Wi-Fi telemetry (uptime, throughput, session success); post-flight micro-survey item"
Improve boarding flow and gate communications,boarding_gate,Queue management and unclear gate instructions create avoidable friction and can amplify disruption stress.,Decrease boarding/gate negative mentions; reduce boarding time variability; improve on-time departure readiness indicators,Gate timestamps; boarding scan data; trend breakdown by station/airport; targeted audit sampling
"Reduce seat comfort pain points (legroom expectations, cushioning, recline issues)",seat_comfort,Seat comfort strongly influences overall trip satisfaction on medium/long flights and is frequently cited in negative feedback.,Increase seat comfort score; decrease seat-related negative mentions; increase recommendation rate on affected aircraft types,Map reviews to fleet/cabin; before/after comparison by tail number where feasible; maintenance findings; post-flight survey
Service consistency program for cabin crew,crew_service,Service attitude and responsiveness appear frequently and carry high emotional intensity in reviews.,Decrease negative crew mentions; increase cabin staff rating; increase compliments-to-complaints ratio,VoC topic + sentiment trend by crew base and route; onboard survey; quality assurance sampling and coaching follow-up
Increase in-flight entertainment reliability and content freshness,entertainment,IFE reliability issues reduce perceived value and are a consistent driver of dissatisfaction on longer flights.,Decrease IFE negative mentions; increase IFE rating; increase IFE usage rate,IFE system health logs; content update cadence metrics; VoC trend by fleet type
Disruption experience: proactive communication and re-accommodation,delay_punctuality,"Disruptions drive strong dissatisfaction, particularly when updates and rebooking are unclear or slow.",Decrease disruption-related negative rate; increase satisfaction among disrupted passengers; reduce missed-connection complaints,Link VoC topics with OTP/irregular operations logs; measure notification timeliness; track rebooking time-to-confirm
Refresh meals on key routes and improve special-meal reliability,food_bev,Meal quality and availability shape brand perception and are frequently mentioned when expectations are not met.,Decrease food negative mentions; increase food rating; reduce catering incident rate,Catering QA checks; incident logs; VoC trend by route and cabin
Baggage handling: reduce lost/damaged bags and speed up delivery,baggage,Baggage issues are high-stress and high-cost events that disproportionately affect overall satisfaction.,Decrease mishandled bag rate; decrease baggage negative mentions; reduce claim cycle time,"Baggage tracking data (e.g., tracing systems); station SLA metrics; VoC trend by arrival airport"
Cabin cleanliness and lavatory turnaround standards,cleanliness,Cleanliness signals quality and safety; negative mentions can quickly erode trust.,Decrease cleanliness negative mentions; increase cleanliness rating; increase audit pass rate,Turnaround checklist data; contractor SLA compliance; random audits; VoC trend by fleet type
Digital experience: booking and refund transparency with self-serve workflows,digital_booking,Booking and refund friction is associated with dissatisfaction and downstream contact-center demand.,Decrease booking/refund negative mentions; reduce contact-center volume; reduce time-to-refund,Support ticket tags; web/app funnel analytics; SLA dashboards; VoC mining for refund-related phrases
